contract_id,seats_start,logins_total,active_users,renewed,seat_change
0,23,59.2,8.0,1,2
1,15,69.33333333333333,8.0,1,2
2,15,25.615384615384617,3.0,1,6
3,46,109.57142857142857,13.0,0,5
4,18,40.57142857142857,4.0,1,0
5,8,30.666666666666668,4.0,1,3
6,17,48.57142857142857,5.0,1,5
7,86,297.0,33.0,1,-13
8,33,139.63636363636363,16.0,1,1
9,11,56.57142857142857,6.0,1,0
10,24,70.15384615384616,8.0,1,5
11,13,69.42857142857143,9.0,1,1
12,26,147.6,18.0,1,4
13,29,39.0,6.0,0,12
14,11,21.714285714285715,4.0,1,1
15,30,156.0,20.0,1,2
16,26,61.333333333333336,8.0,1,0
17,12,24.0,3.0,1,3
18,26,43.75,5.0,1,7
19,58,371.72727272727275,47.0,1,0
20,39,106.66666666666667,20.0,1,18
21,39,210.28571428571428,23.0,1,0
22,15,82.0,12.0,1,3
23,55,239.14285714285714,31.0,0,-7
24,19,34.0,4.0,0,7
25,154,400.0,48.0,1,31
26,46,65.0,9.0,1,5
27,26,190.66666666666666,22.0,0,-4
28,10,52.0,6.0,1,2
29,8,34.8,6.0,1,0
30,21,30.625,5.0,1,4
31,34,140.25,17.0,1,0
32,42,51.2,8.0,1,15
33,14,28.571428571428573,4.0,0,3
34,7,18.0,2.0,0,-1
35,42,112.2,17.0,0,0
36,9,26.4,3.0,0,3
37,42,268.3333333333333,35.0,1,2
38,14,36.0,4.0,0,3
39,7,29.333333333333332,3.0,0,0
40,8,43.90909090909091,7.0,1,3
41,16,83.2,13.0,0,4
42,6,7.818181818181818,1.0,0,0
43,38,78.0,13.0,1,-2
44,17,100.0,10.0,1,3
45,38,126.0,14.0,1,3
46,29,120.0,16.0,0,11
47,32,37.333333333333336,4.0,0,-1
48,14,81.0,8.0,1,2
49,28,204.0,24.0,1,4
50,13,100.83333333333333,11.0,1,-1
51,83,286.0,33.0,1,-8
52,399,1322.2857142857142,178.0,1,-52
53,64,306.0,36.0,1,-7
54,5,12.75,2.0,0,0
55,77,68.75,10.0,0,13
56,31,120.0,14.0,1,14
57,7,52.0,6.0,1,-1
58,28,195.0,26.0,1,7
59,39,189.0,28.0,1,10
60,14,99.0,9.0,0,1
61,9,34.166666666666664,5.0,1,1
62,25,113.1,13.0,1,-1
63,18,64.0,8.0,0,1
64,16,60.0,8.0,0,2
65,67,342.25,37.0,1,20
66,9,34.0,4.0,1,0
67,13,73.33333333333333,8.0,0,3
68,27,121.5,18.0,1,5
69,15,78.1,11.0,1,0
70,90,622.5,83.0,1,7
71,15,98.42857142857143,13.0,1,4
72,16,77.0,11.0,1,1
73,34,186.375,21.0,1,15
74,30,39.166666666666664,5.0,1,9
75,9,22.333333333333332,3.0,0,0
76,9,56.0,7.0,0,0
77,17,64.0,8.0,1,2
78,16,42.6,6.0,1,2
79,44,145.71428571428572,15.0,1,21
