contract_id,month_index,logins_total,active_users,leads_created,opportunities_created,reports_generated,feature_adoption_score
0,0,72,8,32,15,16,0.3907184481409346
0,1,40,8,0,0,16,0.3907184481409346
0,2,72,8,8,2,16,0.3907184481409346
0,3,40,8,16,10,24,0.3907184481409346
0,4,72,8,8,2,8,0.3907184481409346
0,5,64,8,16,11,0,0.3907184481409346
0,6,64,8,8,3,0,0.3907184481409346
0,7,48,8,0,0,8,0.3907184481409346
0,8,56,8,8,3,8,0.3907184481409346
0,9,64,8,16,9,0,0.3907184481409346
1,0,24,8,64,31,8,0.5490569802713716
1,1,64,8,8,4,8,0.5490569802713716
1,2,96,8,32,18,0,0.5490569802713716
1,3,80,8,16,5,16,0.5490569802713716
1,4,56,8,32,11,16,0.5490569802713716
1,5,40,8,24,11,32,0.5490569802713716
1,6,72,8,0,0,16,0.5490569802713716
1,7,80,8,32,13,16,0.5490569802713716
1,8,80,8,16,10,8,0.5490569802713716
1,9,64,8,8,4,0,0.5490569802713716
1,10,112,8,32,14,8,0.5490569802713716
1,11,64,8,0,0,8,0.5490569802713716
2,0,27,3,6,3,3,0.2739483301791951
2,1,24,3,9,2,0,0.2739483301791951
2,2,18,3,15,5,6,0.2739483301791951
2,3,21,3,9,5,0,0.2739483301791951
2,4,33,3,3,1,6,0.2739483301791951
2,5,27,3,6,2,0,0.2739483301791951
2,6,15,3,0,0,0,0.2739483301791951
2,7,21,3,9,5,0,0.2739483301791951
2,8,24,3,6,3,3,0.2739483301791951
2,9,39,3,0,0,3,0.2739483301791951
2,10,24,3,6,2,0,0.2739483301791951
2,11,36,3,12,5,3,0.2739483301791951
2,12,24,3,6,3,0,0.2739483301791951
3,0,78,13,26,13,13,0.3308498802824304
3,1,117,13,26,10,0,0.3308498802824304
3,2,65,13,39,26,13,0.3308498802824304
3,3,156,13,0,0,0,0.3308498802824304
3,4,130,13,13,7,0,0.3308498802824304
3,5,117,13,39,26,13,0.3308498802824304
3,6,104,13,39,14,13,0.3308498802824304
4,0,40,4,8,4,0,0.29725298903631275
4,1,32,4,12,7,4,0.29725298903631275
4,2,56,4,8,2,16,0.29725298903631275
4,3,60,4,0,0,4,0.29725298903631275
4,4,20,4,8,3,12,0.29725298903631275
4,5,44,4,4,2,0,0.29725298903631275
4,6,32,4,16,10,4,0.29725298903631275
5,0,28,4,16,9,12,0.5168732107835967
5,1,16,4,0,0,4,0.5168732107835967
5,2,36,4,8,3,8,0.5168732107835967
5,3,28,4,4,2,0,0.5168732107835967
5,4,56,4,28,14,8,0.5168732107835967
5,5,20,4,0,0,4,0.5168732107835967
6,0,70,5,15,7,5,0.3673912534756044
6,1,40,5,20,9,5,0.3673912534756044
6,2,30,5,15,10,5,0.3673912534756044
6,3,60,5,10,5,5,0.3673912534756044
6,4,45,5,5,2,10,0.3673912534756044
6,5,25,5,5,2,5,0.3673912534756044
6,6,70,5,5,2,10,0.3673912534756044
7,0,297,33,66,24,33,0.40320990893244035
7,1,429,33,66,41,33,0.40320990893244035
7,2,363,33,99,46,0,0.40320990893244035
7,3,363,33,0,0,0,0.40320990893244035
7,4,132,33,66,33,33,0.40320990893244035
7,5,165,33,0,0,33,0.40320990893244035
7,6,396,33,0,0,0,0.40320990893244035
7,7,297,33,33,10,66,0.40320990893244035
7,8,297,33,66,41,33,0.40320990893244035
7,9,297,33,33,14,66,0.40320990893244035
7,10,231,33,66,25,66,0.40320990893244035
8,0,112,16,0,0,0,0.4918270410015356
8,1,80,16,16,8,32,0.4918270410015356
8,2,144,16,16,6,32,0.4918270410015356
8,3,128,16,64,23,0,0.4918270410015356
8,4,160,16,48,30,0,0.4918270410015356
8,5,80,16,48,28,16,0.4918270410015356
8,6,144,16,32,18,16,0.4918270410015356
8,7,96,16,0,0,0,0.4918270410015356
8,8,192,16,0,0,48,0.4918270410015356
8,9,64,16,48,14,32,0.4918270410015356
8,10,336,16,16,6,32,0.4918270410015356
9,0,60,6,0,0,0,0.6082624738995799
9,1,48,6,6,3,0,0.6082624738995799
9,2,24,6,6,3,6,0.6082624738995799
9,3,72,6,18,5,6,0.6082624738995799
9,4,48,6,6,2,6,0.6082624738995799
9,5,60,6,6,2,0,0.6082624738995799
9,6,84,6,18,7,12,0.6082624738995799
10,0,88,8,24,9,16,0.39351562567789505
10,1,48,8,8,4,16,0.39351562567789505
10,2,64,8,0,0,16,0.39351562567789505
10,3,72,8,0,0,8,0.39351562567789505
10,4,24,8,40,23,16,0.39351562567789505
10,5,56,8,0,0,16,0.39351562567789505
10,6,48,8,8,4,16,0.39351562567789505
10,7,64,8,0,0,0,0.39351562567789505
10,8,80,8,16,5,0,0.39351562567789505
10,9,88,8,8,3,24,0.39351562567789505
10,10,56,8,24,15,8,0.39351562567789505
10,11,120,8,16,6,0,0.39351562567789505
10,12,104,8,8,4,0,0.39351562567789505
11,0,90,9,45,21,9,0.6986007375439555
11,1,45,9,9,3,0,0.6986007375439555
11,2,72,9,18,10,27,0.6986007375439555
11,3,36,9,18,10,0,0.6986007375439555
11,4,108,9,45,23,9,0.6986007375439555
11,5,63,9,18,7,18,0.6986007375439555
11,6,72,9,0,0,9,0.6986007375439555
12,0,126,18,18,12,54,0.6673461384215361
12,1,144,18,54,30,0,0.6673461384215361
12,2,216,18,108,39,18,0.6673461384215361
12,3,54,18,18,7,18,0.6673461384215361
12,4,198,18,36,13,72,0.6673461384215361
